,context,question,answer
0,": About  
Get Presight  
PRIVACY POLICYLast updated 15 Sep 2023", When was the privacy policy last updated?, 15 Sep 2023
1,": About  
Get Presight  
PRIVACY POLICYLast updated 15 Sep 2023", What is the name of the privacy policy?, Get Presight PRIVACY POLICY
2,Information Collection and Use: We collect several different types of information for various purposes to provide and improve our Service to you., What does a company collect to provide and improve services to you?, several different types of information
3,Information Collection and Use: We collect several different types of information for various purposes to provide and improve our Service to you., What are we collecting?, several different types of information
4,"Types of Data Collected: Personal Data  
While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"").", How do we use the information you provide?, to contact or identify you
5,"Types of Data Collected: Personal Data  
While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data"").", What kind of information do we collect from you when you use our Service?, Personal Data
6,"Personally identifiable information may include, but is not limited to:  
Email addressFirst name and last namePhone numberAddress, State, Province, ZIP/Postal code, CityCookies and Usage Data  
Usage Data  
We may also collect information that your browser sends whenever you visit our Service or when you access the Service by or through a mobile device (""Usage Data"").", What is one way that we collect information about you?, Cookies
7,"Personally identifiable information may include, but is not limited to:  
Email addressFirst name and last namePhone numberAddress, State, Province, ZIP/Postal code, CityCookies and Usage Data  
Usage Data  
We may also collect information that your browser sends whenever you visit our Service or when you access the Service by or through a mobile device (""Usage Data"").", What type of information does our Service collect?, Personally identifiable
8,This Usage Data may include information such as your computer's Internet Protocol address (e.g., What is an example of Usage Data?, your computer's Internet Protocol address
9,This Usage Data may include information such as your computer's Internet Protocol address (e.g., What may include information such as your computer's Internet Protocol address?, Usage Data
10,"IP address), browser type, browser version, the pages of our Service that you visit, the time and date of your visit, the time spent on those pages, unique device identifiers, and other diagnostic data.", What information does the web server collect about you?, IP address
11,"IP address), browser type, browser version, the pages of our Service that you visit, the time and date of your visit, the time spent on those pages, unique device identifiers, and other diagnostic data.", What is the name of the service you visit on our website?, Service
12,"Use of Data: Presight uses the collected data for various purposes:  
To provide and maintain our ServiceTo notify you about changes to our ServiceTo allow you to participate in interactive features of our Service when you choose to do soTo provide customer supportTo gather analysis or valuable information so that we can improve our ServiceTo monitor the usage of our ServiceTo detect, prevent and address technical issues", What kind of things does Presight use the collected data for?, To provide and maintain our ServiceTo notify you about changes to our ServiceTo allow you to participate in interactive features of our Service when you choose to do so
13,"Use of Data: Presight uses the collected data for various purposes:  
To provide and maintain our ServiceTo notify you about changes to our ServiceTo allow you to participate in interactive features of our Service when you choose to do soTo provide customer supportTo gather analysis or valuable information so that we can improve our ServiceTo monitor the usage of our ServiceTo detect, prevent and address technical issues", What does Presight use your data for?, To provide and maintain our ServiceTo notify you about changes to our ServiceTo allow you to participate in interactive features of our Service when you choose to do soTo provide customer supportTo gather analysis or valuable information so that we can improve our Service
14,"Consent: As personal information is collected, you will be asked to confirm that your information is correct prior to submitting it to Presight.", What does Presight ask you to confirm when submitting information?, that your information is correct
15,"Consent: As personal information is collected, you will be asked to confirm that your information is correct prior to submitting it to Presight.", What will you have to confirm when you submit your information to Presight?, that your information is correct
16,Access to Personal Information: Accessing Your Personal InformationAutomated Edit Checks, What is the name of the check that allows you to see if you've changed something in your personal information?, Edit Checks
17,Accessing Your Personal Information: You have the right to access all of your personal information that we hold., What do you have the right to do?, access all of your personal information that we hold
18,Accessing Your Personal Information: You have the right to access all of your personal information that we hold., How do you access your personal information?, You have the right to access all of your personal information
19,"Through the application, you can correct, amend, or append your personal information by logging into the application and navigating to your settings and profile."," How can you change, amend, or add information to the application?", by logging into the application
20,"Through the application, you can correct, amend, or append your personal information by logging into the application and navigating to your settings and profile."," How do you change, amend, or add information to your account?", by logging into the application
21,Automated Edit Checks: Presight employs automated edit checks to ensure that data entry fields are completed properly when collecting personal information., What does Presight employ to ensure that data entry fields are completed properly?, automated edit checks
22,Automated Edit Checks: Presight employs automated edit checks to ensure that data entry fields are completed properly when collecting personal information., How does Presight ensure that data entry fields are completed correctly?, automated edit checks
23,These edit checks help maintain data integrity and accuracy., What does this process help with?, data integrity and accuracy
24,These edit checks help maintain data integrity and accuracy., What are edit checks?, help maintain data integrity and accuracy
25,You are encouraged to provide complete and valid information to ensure the smooth processing of their personal data., What do we want to ensure with their personal data?, smooth processing
26,You are encouraged to provide complete and valid information to ensure the smooth processing of their personal data., What is the purpose of providing complete and valid information to ensure the smooth processing of their personal data?, to ensure the smooth processing
27,"Disclosure of Information: We may disclose your information to third-party service providers who help us to provide our services such as Datadog, AWS and Google Workspace.", What companies are service providers?," Datadog, AWS and Google Workspace"
28,"Disclosure of Information: We may disclose your information to third-party service providers who help us to provide our services such as Datadog, AWS and Google Workspace.", What are examples of third-party service providers?," Datadog, AWS and Google Workspace"
29,"We may also disclose your information in response to a legal request, such as a subpoena or court order, or to protect our rights or the rights of others.", What type of requests do we respond to in response to?, legal
30,"We may also disclose your information in response to a legal request, such as a subpoena or court order, or to protect our rights or the rights of others.", What kind of request does Facebook receive that may lead to the disclosure of information?, legal
31,"Data Security:: All data is encrypted both in transit and at rest, using industry-standard encryption methods.We regularly perform security audits and vulnerability assessments to ensure the safety of our platform and the data stored within it.Our employees are trained on best practices for data security, and access to customer data is restricted on a need-to-know basis.", What kind of audits and vulnerability assessments do we regularly perform?, security audits and vulnerability assessments
32,"Data Security:: All data is encrypted both in transit and at rest, using industry-standard encryption methods.We regularly perform security audits and vulnerability assessments to ensure the safety of our platform and the data stored within it.Our employees are trained on best practices for data security, and access to customer data is restricted on a need-to-know basis.", What are our employees trained on?," best practices for data security,"
33,Data Retention & Disposal: Customer data is retained for as long as the account is in active status., How long is customer data kept?, as long as the account is in active status
34,Data Retention & Disposal: Customer data is retained for as long as the account is in active status., How long is customer data retained?, as long as the account is in active status
35,Data enters an “expired” state when the account is voluntarily closed., What does the “expired” state mean?, when the account is voluntarily closed
36,Data enters an “expired” state when the account is voluntarily closed., When does data enter an expired state?, when the account is voluntarily closed
37,Expired account data will be retained for 60 days., How long will account data be retained?, 60 days
38,Expired account data will be retained for 60 days., How long will account data be retained after it expires?, 60 days
39,"After this period, the account and related data will be removed.", After how long a period does the account remain active?, After this period
40,"After this period, the account and related data will be removed.", When will the account and related data be removed?, After this period
41,"Quality, Including Data Subjects' Responsibilities for Quality: We are committed to maintaining the quality and accuracy of the personal information we collect and process.We rely on data subjects to provide accurate and up-to-date information.Data subjects have the responsibility to inform us of any changes or inaccuracies in their personal data.If you believe that any information we hold about you is inaccurate, incomplete, or outdated, please contact us promptly to rectify the information.", Who has the responsibility to inform us of any changes or inaccuracies in their personal data?, Data subjects
42,"Quality, Including Data Subjects' Responsibilities for Quality: We are committed to maintaining the quality and accuracy of the personal information we collect and process.We rely on data subjects to provide accurate and up-to-date information.Data subjects have the responsibility to inform us of any changes or inaccuracies in their personal data.If you believe that any information we hold about you is inaccurate, incomplete, or outdated, please contact us promptly to rectify the information.", What are data subjects responsible for providing?, accurate and up-to-date information
43,"Monitoring and Enforcement: We regularly monitor its data processing activities to ensure compliance with this privacy policy and applicable data protection laws.In the event of a data breach or any unauthorized access to your personal information, we will notify you and the appropriate authorities as required by law.We committed to cooperating with data protection authorities and complying with their advice and decisions regarding data protection and privacy matters.", What does our monitoring and enforcement consist of?, ensure compliance with this privacy policy and applicable data protection laws
44,"Monitoring and Enforcement: We regularly monitor its data processing activities to ensure compliance with this privacy policy and applicable data protection laws.In the event of a data breach or any unauthorized access to your personal information, we will notify you and the appropriate authorities as required by law.We committed to cooperating with data protection authorities and complying with their advice and decisions regarding data protection and privacy matters.", How will we notify you in the event of a data breach?, we will notify you and the appropriate authorities as required by law
45,Cookies: We use cookies to enhance your experience on our website., What do we use to enhance your experience on our website?, Cookies
46,Cookies: We use cookies to enhance your experience on our website., What do we use to enhance your experience on our website?, Cookies
47,You can control the use of cookies through your web browser settings., How do you control the use of cookies?, your web browser settings
48,You can control the use of cookies through your web browser settings., How can you control the use of cookies?, your web browser settings
49,Third-Party Websites: Our website may contain links to third-party websites., What is another term for third-party websites?, Third-Party Websites
50,Third-Party Websites: Our website may contain links to third-party websites., What kind of website may be linked to ours?, third-party
51,We are not responsible for the privacy practices or content of those websites., What is the content of these websites?, We are not responsible for the privacy practices
52,We are not responsible for the privacy practices or content of those websites., What do we not have control over?, the privacy practices or content of those websites
53,Changes to Privacy Policy: We may update this Privacy Policy from time to time., What do we do when we make changes to our Privacy Policy?, update this Privacy Policy from time to time
54,Changes to Privacy Policy: We may update this Privacy Policy from time to time., What happens from time to time?, We may update this Privacy Policy
55,The updated Privacy Policy will be posted on our website., Where will the Privacy Policy be posted?, on our website
56,The updated Privacy Policy will be posted on our website., Where is the updated Privacy Policy posted?, on our website
57,"Contact Us: If you have any questions about this Privacy Policy, please contact us through the customer portal or by email at presight@presight.io.", How can you contact us?, through the customer portal or by email
58,"Contact Us: If you have any questions about this Privacy Policy, please contact us through the customer portal or by email at presight@presight.io.", What is the email address for presight?, presight@presight.io
59,Purposeful Use Only: We commit to only use personal information for the purposes identified in the entity's privacy policy., What is the only reason we use personal information?, Purposeful Use Only
60,Purposeful Use Only: We commit to only use personal information for the purposes identified in the entity's privacy policy., What can we only use personal information for?, Purposeful Use Only
